;resolution;releaseDate;StructureWeight;PolymerWeight;NonpolymerWeight;NonpolymerWeightNowater;WaterWeight;atomCount;hetatmCount;allAtomCount;allAtomCountLn;aaCount;ligandCount;ligandBondRotationFreedom;aaLigandCount;aaLigandCountNowater;aaLigandCountFiltered;ligandRatio;hetatmCountNowater;ligandCountNowater;ligandRatioNowater;hetatmCountFiltered;ligandCarbonChiraAtomCountFiltered;ligandCountFiltered;ligandRatioFiltered;hetatmCountMetal;ligandCountMetal;ligandRatioMetal;hetatmCountNometal;ligandCountNometal;ligandRatioNometal;hetatmCountNowaterNometal;ligandCountNowaterNometal;ligandRatioNowaterNometal;hetatmCountFilteredMetal;ligandCountFilteredMetal;ligandRatioFilteredMetal;hetatmCountFilteredNometal;ligandCountFilteredNometal;ligandRatioFilteredNometal;clashscore;RamaOutliers;SidechainOutliers;ClashscorePercentile;RamaOutliersPercentile;SidechainOutliersPercentile;combinedGeometryQuality;DCC_R;DCC_Rfree;absolute-percentile-DCC_Rfree;AngleRMSZstructure;BondRMSZstructure;RSRZoutliers;RSRZoutliersPercentile;combinedXrayQualityMetric;combinedOverallQualityMetric;highestChainBondsRMSZ;highestChainAnglesRMSZ;averageResidueRSR;ChiralProblemLigandRatio;GoodLigandRatio;TopologyProblemLigandRatio;LigandTopologyProblemsPrecise;LigandTopologyCarbonChiraProblemsPrecise;ChiraProblemsPrecise;GoodLigandRatioBinary;LigandTopologyProblemsPreciseBinary;LigandTopologyCarbonChiraProblemsPreciseBinary;ChiraProblemsPreciseBinary;averageLigandRSR;averageLigandAngleRMSZ;averageLigandBondRMSZ;averageLigandRSCC;ligandRSCCoutlierRatio;AssemblyTotalWeight;AssemblyBiopolymerCount;AssemblyUniqueBiopolymerCount;AssemblyLigandCount;AssemblyUniqueLigandCount;AssemblyWaterCount;AssemblyBiopolymerWeight;AssemblyLigandWeight;AssemblyWaterWeight;averageResidueRSCC;residueRSCCoutlierRatio;AssemblyLigandFlexibility;averageLigandRSCCsmallLigs;averageLigandRSCClargeLigs;absolute-percentile-RNAsuiteness
12;1.44;2004;15.3487;13.8984;886.807;189.942;774.645;1441;56;1502;7.31455;101;24;0.6869;151;107;102;1.03943;10;10;4.25;16;10;10;12;10;11;43;60;37;1.04043;12;10;4.71429;NA;NA;NA;16;10;13;1.87;0.17;0.7;9.7;3.2;4.3;8.12697;0.21;0.23;37.9;0.44;0.29;0.75;5.9;11.387;-19.4259;0.3;0.46;0.110919;NA;0.999;NA;0.157;0.1429;NA;NA;NA;NA;NA;0.0965;0.36;0.375;0.80925;0.17;13.977;24;NA;10;NA;24;13.7083;160.312;500;0.889386;0.0224215;0.0601504;0.798333;0.806;NA
13;1.46;2005;16.2055;14.3513;974.394;202.14;846.705;1565;60;1581;7.36581;106;30;0.688;164;111;108;1.04271;11;11;4.375;17;12;11;12.5;12;12;60;65;41;1.04396;13;11;4.99;NA;NA;NA;17;11;13.4;1.98;0.18;0.74;10.7;3.5;4.7;8.98438;0.22;0.24;48.3;0.45;0.3;0.8;6.7;12.6611;-18.1259;0.31;0.47;0.112267;NA;1;NA;0.193;0.164;NA;NA;NA;NA;NA;0.099;0.378;0.390909;0.815;0.1999;14.48;32;NA;11;NA;480;14.2912;171.431;9000;0.891249;0.0237258;0.0643641;0.804;0.81325;NA
14;1.499;2006;17.1779;15.1306;1062.88;227.93;918.765;1628;65;1657;7.41276;111;37;0.693;176;116;112;1.04928;12;12;4.63636;18;14;12;12.99;15;15;3000;70;45;1.04751;14;12;5.01;NA;NA;NA;18;12;13.64;2.08;0.19;0.78;11.7;3.8;5.4;9.85268;0.23;0.25;59.2;0.46;0.31;0.86;7.1;13.6958;-16.8737;0.32;0.48;0.113585;NA;NA;NA;0.246;0.1999;NA;NA;NA;NA;NA;0.101;0.394545;0.41;0.82;0.2;15.063;55;NA;12;NA;NA;14.7284;189.942;NA;0.892948;0.0248521;0.0675439;0.8095;0.819667;NA
15;1.503;2007;18.0457;16.0903;1142.22;240.736;990.825;1679;70;1728;7.45472;116;46;0.6999;189;121;117;1.05263;13;13;4.88889;19;15;14;13;19;19;NA;74;49;1.05115;15;13;5.28571;NA;NA;NA;19;14;13.99;2.19;0.2;0.82;12.6;4.1;6.2;10.7744;0.24;0.26;69.2;0.47;0.32;0.91;7.6;14.5747;-15.6448;0.33;0.49;0.114745;NA;NA;NA;0.313;0.2381;NA;NA;NA;NA;NA;0.103;0.411;0.425;0.824667;0.249;15.781;179;NA;13;NA;NA;15.4687;200.59;NA;0.894468;0.0261097;0.0714285;0.8147;0.8255;NA
16;1.53;2008;18.9663;16.8433;1225.02;254.629;1062.88;1739;75;1797;7.49387;121;53;0.7;200;125;122;1.05587;14;14;5.09091;20;16;16;13.4;21;28;NA;79;53;1.05469;17;14;5.4;NA;NA;NA;20;16;14;2.28;0.21;0.85;13.7;4.6;6.6;11.6589;0.25;0.27;77.8;0.48;0.33;0.96;8;15.3348;-14.5534;0.34;0.5;0.115976;NA;NA;NA;0.401;0.293;NA;NA;NA;NA;NA;0.105;0.43;0.44;0.829;0.25;16.45;9000;NA;14;NA;NA;16.1363;216.572;NA;0.89596;0.0273292;0.0736843;0.819375;0.831;NA
17;1.55;2009;19.8275;17.5031;1307.94;263.316;1152.96;1795;80;1864;7.53048;124;57;0.706;211;129;126;1.05903;15;15;5.25;21;18;18;13.66;31;40;NA;84;57;1.05823;18;15;5.6;NA;NA;NA;21;19;14.34;2.39;0.22;0.9;14.7;4.9;7;12.5274;0.26;0.28;85.1;0.49;0.34;1.01;8.4;15.9284;-13.3871;0.35;0.51;0.117188;NA;NA;NA;0.536;0.36;NA;NA;NA;NA;NA;0.107;0.45;0.454545;0.8335;0.286;17.25;NA;NA;15;NA;NA;16.9113;226.881;NA;0.897271;0.0285285;0.0794871;0.823333;0.836;NA
18;1.57;2010;20.7879;18.38;1397.03;275.308;1225.02;1853;85;1929;7.56476;128;60;0.714;221;131;128;1.06145;17;16;5.33333;22;20;21;13.99;42;150;NA;89;61;1.06087;19;16;5.88889;NA;NA;NA;22;23;14.55;2.48;0.23;0.93;15.8;5.4;7.4;13.4123;0.27;0.29;90.4;0.5;0.35;1.07;9.2;16.4442;-12.2784;0.36;0.52;0.11842;NA;NA;NA;1;0.499;NA;NA;NA;NA;NA;0.109;0.47;0.46875;0.837333;0.33;18.041;NA;NA;16;NA;NA;17.5569;238.552;NA;0.898524;0.0296583;0.0833332;0.827;0.841;NA
19;1.59;2011;21.6274;19.1489;1483.29;293.141;1297.08;1910;90;1995;7.5984;130;67;0.715;231;135;130;1.0649;19;17;5.47059;23;22;24;14;43;5400;NA;94;65;1.06472;20;17;6.13333;NA;NA;NA;23;28;14.99;2.58;0.24;0.97;16.7;5.7;7.8;14.2896;0.28;0.3;94;0.51;0.36;1.13;9.7;17.6577;-11.2309;0.37;0.53;0.119557;NA;NA;NA;NA;0.67;NA;NA;NA;NA;NA;0.110833;0.489117;0.48;0.841125;0.339;18.601;NA;NA;17;NA;NA;18.2247;251.93;NA;0.899768;0.0307692;0.0865385;0.831;0.84575;NA
20;1.6;2012;22.7784;20.1984;1569.42;318.3795;1369.14;1965;95;2058;7.62949;134;74;0.72;240;139;135;1.06818;20;18;5.5;24;24;31;14.34;56;NA;NA;99;69;1.06851;21;18;6.27778;NA;NA;NA;24;41;15;2.68;0.25;1.01;17.9;6.3;8.2;15.2242;0.3;0.31;96.3;0.52;0.37;1.19;10.2;18.6947;-10.1367;0.38;0.54;0.12067;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;0.1125;0.508571;0.495;0.844667;0.388;19.225;NA;NA;18;NA;NA;18.7899;261.636;NA;0.900888;0.0318841;0.0890003;0.83425;0.85;NA
21;1.62;2013;23.83;21.245;1655.76;330.289;1441.2;2015;100;2117;7.65776;138;78;0.724;249;144;139;1.07478;21;19;5.76923;25;26;47;14.56;85;NA;NA;104;73;1.07237;22;19;6.4;NA;NA;NA;25;88;15.99;2.78;0.26;1.06;18.9;6.5;8.6;16.1286;0.34;0.32;97.8;0.53;0.38;1.24;10.8;19.7328;-9.0878;0.39;0.55;0.121778;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.11425;0.528333;0.507143;0.848;0.4;20.052;NA;NA;20;NA;NA;19.6484;286.252;NA;0.901985;0.033;0.0925323;0.8378295;0.854333;NA
22;1.64;2014;24.7711;21.918;1737.6;344.039;1513.26;2048;105;2173;7.68386;143;81;0.728;259;149;144;1.07821;22;20;5.92308;26;28;100;14.99;86;NA;NA;108;77;1.07614;23;20;6.7;NA;NA;NA;26;12503;16;2.88;0.27;1.1;19.9;6.8;9;17.0736;1;0.33;98.8;0.54;0.39;1.3;12.1;20.7261;-8.04984;0.4;0.56;0.122862;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.116;0.546;0.52;0.851333;0.432;20.983;NA;NA;22;NA;NA;20.627;307.323;NA;0.903024;0.0340426;0.0952381;0.8412;0.858;NA
23;1.66;2015;25.779;22.934;1819.52;355.126;1585.32;2089;110;2226;7.70796;148;88;0.732;268;153;149;1.08171;23;21;6.14286;27;30;13000;15;88;NA;NA;113;81;1.08;24;21;6.83333;NA;NA;NA;27;NA;16.99;2.97;0.28;1.15;20.8;7.2;9.4;17.9628;NA;0.35;99.4;0.55;0.4;1.35;12.9;21.5867;-7.06105;0.41;0.57;0.123935;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.117846;0.5656695;0.531667;0.854375;0.49;21.931;NA;NA;24;NA;NA;21.4567;319.255;NA;0.904046;0.0350584;0.0985042;0.84425;0.862;NA
24;1.68;2016;26.7333;23.7527;1896.29;379.116;1657.38;2138;114;2280;7.73193;152;95;0.734;276;157;153;1.08531;24;22;6.25;28;32;NA;15.99;142;NA;NA;117;85;1.08416;25;23;7;NA;NA;NA;28;NA;17;3.07;0.29;1.2;21.9;7.6;9.9;18.9119;NA;9;100;0.56;0.41;1.4;13.2;22.3051;-6.07713;0.42;0.58;0.124991;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.119429;0.586;0.545;0.857429;0.5;22.499;NA;NA;26;NA;NA;22.0032;332.066;NA;0.90496;0.0361446;0.1;0.8472;0.866;NA
25;1.697;2017;27.7546;24.6943;1981.65;384.2885;1729.44;2190;119;2324;7.75105;155;99;0.737;285;161;156;1.0888;25;23;6.38298;29;36;NA;16;172;NA;NA;122;89;1.08808;26;24;7.19298;NA;NA;NA;29;NA;17.99;3.17;0.3;1.24;22.9;8.1;10.4;19.8872;NA;NA;NA;0.57;0.42;1.46;13.6;22.9938;-5.02742;0.43;0.59;0.126084;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.121;0.604;0.55875;0.860405;0.588;23.283;NA;NA;28;NA;NA;22.8565;345.187;NA;0.905854;0.0372041;0.105263;0.850167;0.869333;NA
26;1.728;2018;28.8001;25.6708;2065.68;393.934;1801.5;2235;124;2379;7.77444;159;102;0.74;294;165;160;1.09609;26;24;6.6;30;40;NA;16.99;260;NA;NA;127;93;1.09213;27;26;7.3;NA;NA;NA;30;NA;18;3.27;0.31;1.29;23.9;8.6;11.1;20.8166;NA;NA;NA;0.58;0.43;1.52;14;23.6431;-4.05767;0.44;0.6;0.127181;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.1228;0.622;0.571;0.863125;0.66;24.04;NA;NA;31;NA;NA;23.592;355.965;NA;0.906729;0.0382696;0.108633;0.853;0.873;NA
27;1.74;2019;29.8072;26.6708;2143.78;406.343;1873.56;2336;128;2436;7.79811;163;106;0.743;302;169;164;1.10627;27;26;6.7;31;45;NA;17;500;NA;NA;131;97;1.09647;28;28;7.4;NA;NA;NA;31;NA;18.99;3.37;0.32;1.34;25.1;9.2;11.7;21.7757;NA;NA;NA;0.59;0.44;1.57;14.4;24.0987;-3.09185;0.45;0.61;0.128213;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.1245;0.64;0.584545;0.866;0.699;24.895;NA;NA;35;NA;NA;24.4759;379.994;NA;0.907566;0.0392799;0.113636;0.855833;0.876;NA
28;1.75;NA;30.7408;27.4472;2225.85;420.096;1945.62;2384;133;2491;7.82044;166;116;0.749;310;173;168;1.10995;28;28;6.81818;32;50;NA;17.99;34000;NA;NA;136;101;1.10069;29;30;7.57143;NA;NA;NA;32;NA;19;3.47;0.33;1.39;26;9.8;12.5;22.7617;NA;NA;NA;0.6;0.45;1.63;14.8;24.826;-2.15863;0.46;0.62;0.129261;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.126;0.66;0.598571;0.8685;0.999;25.733;NA;NA;39;NA;NA;25.3327;395.444;NA;0.908383;0.0403042;0.116667;0.85825;0.879;NA
29;1.77;NA;31.5797;28.1578;2305.92;433.128;2017.68;2430;138;2548;7.84306;171;120;0.75;318;179;173;1.11356;29;30;7;33;56;NA;18;NA;NA;NA;140;105;1.10405;30;33;7.75;NA;NA;NA;33;NA;19.99;3.57;0.34;1.44;27.3;10.5;13.4;23.7418;NA;NA;NA;0.61;0.46;1.68;15.2;25.8531;-1.2328;0.47;0.63;0.130301;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.127778;0.68;0.611667;0.871;1;26.581;NA;NA;47;NA;NA;26.1798;406.687;NA;0.909167;0.0413223;0.119744;0.861;0.882;NA
