;resolution;releaseDate;StructureWeight;PolymerWeight;NonpolymerWeight;NonpolymerWeightNowater;WaterWeight;atomCount;hetatmCount;allAtomCount;allAtomCountLn;aaCount;ligandCount;ligandBondRotationFreedom;aaLigandCount;aaLigandCountNowater;aaLigandCountFiltered;ligandRatio;hetatmCountNowater;ligandCountNowater;ligandRatioNowater;hetatmCountFiltered;ligandCarbonChiraAtomCountFiltered;ligandCountFiltered;ligandRatioFiltered;hetatmCountMetal;ligandCountMetal;ligandRatioMetal;hetatmCountNometal;ligandCountNometal;ligandRatioNometal;hetatmCountNowaterNometal;ligandCountNowaterNometal;ligandRatioNowaterNometal;hetatmCountFilteredMetal;ligandCountFilteredMetal;ligandRatioFilteredMetal;hetatmCountFilteredNometal;ligandCountFilteredNometal;ligandRatioFilteredNometal;clashscore;RamaOutliers;SidechainOutliers;ClashscorePercentile;RamaOutliersPercentile;SidechainOutliersPercentile;combinedGeometryQuality;DCC_R;DCC_Rfree;absolute-percentile-DCC_Rfree;AngleRMSZstructure;BondRMSZstructure;RSRZoutliers;RSRZoutliersPercentile;combinedXrayQualityMetric;combinedOverallQualityMetric;highestChainBondsRMSZ;highestChainAnglesRMSZ;averageResidueRSR;ChiralProblemLigandRatio;GoodLigandRatio;TopologyProblemLigandRatio;LigandTopologyProblemsPrecise;LigandTopologyCarbonChiraProblemsPrecise;ChiraProblemsPrecise;GoodLigandRatioBinary;LigandTopologyProblemsPreciseBinary;LigandTopologyCarbonChiraProblemsPreciseBinary;ChiraProblemsPreciseBinary;averageLigandRSR;averageLigandAngleRMSZ;averageLigandBondRMSZ;averageLigandRSCC;ligandRSCCoutlierRatio;AssemblyTotalWeight;AssemblyBiopolymerCount;AssemblyUniqueBiopolymerCount;AssemblyLigandCount;AssemblyUniqueLigandCount;AssemblyWaterCount;AssemblyBiopolymerWeight;AssemblyLigandWeight;AssemblyWaterWeight;averageResidueRSCC;residueRSCCoutlierRatio;AssemblyLigandFlexibility;averageLigandRSCCsmallLigs;averageLigandRSCClargeLigs;absolute-percentile-RNAsuiteness
30;1.78;NA;32.448;28.8969;2384.19;451.9905;2089.74;2483;142;2603;7.86442;177;127;0.7567;326;185;179;1.12155;30;32;7.18182;34;62;NA;18.99;NA;NA;NA;145;109;1.1082;31;37;7.86667;NA;NA;NA;34;NA;20;3.67;0.35;1.49;28.4;11.3;14;24.7526;NA;NA;NA;0.62;0.47;1.74;15.7;26.8887;-0.352335;0.48;0.64;0.131396;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.129333;0.6975;0.6255;0.873111;NA;27.517;NA;NA;60;NA;NA;27.0869;420.533;NA;0.909921;0.0423497;0.122807;0.8636;0.885;NA
31;1.792;NA;33.2292;29.3125;2467.29;462.524;2161.8;2542;147;2664;7.88758;183;134;0.758;335;190;184;1.12568;31;35;7.28571;35;69;NA;19;NA;NA;NA;149;113;1.11245;32;41;8.16667;NA;NA;NA;35;NA;20.99;3.77;0.36;1.54;29.4;12.1;14.7;25.6988;NA;NA;NA;0.63;0.48;1.8;16.2;27.8642;0.590313;0.49;0.65;0.132401;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.131;0.716667;0.64;0.8755;NA;28.243;NA;NA;102;NA;NA;27.759;432.858;NA;0.910658;0.0433423;0.125703;0.866;0.888;NA
32;1.8;NA;34.0401;30.1992;2544.1;474.437;2233.86;2604;151;2726;7.91059;188;138;0.76;343;195;189;1.12981;32;38;7.375;36;79;NA;19.99;NA;NA;NA;154;117;1.11699;33;47;8.28571;NA;NA;NA;36;NA;21;3.88;0.37;1.59;30.2;13.5;16.1;26.7036;NA;NA;NA;0.64;0.49;1.85;16.6;28.7061;1.51884;0.5;0.66;0.133528;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.1327;0.735;0.655;0.877875;NA;29.014;NA;NA;240;NA;NA;28.5375;442.416;NA;0.911378;0.0444028;0.129135;0.868048;0.890727;NA
33;1.821;NA;34.9348;31.1913;2628.03;484.1565;2305.92;2671;156;2790;7.9338;194;145;0.764;349;201;195;1.13351;33;40;7.5625;37;93;NA;20;NA;NA;NA;158;121;1.12168;34;57;8.4;NA;NA;NA;37;NA;21.99;3.98;0.38;1.64;31.4;14.3;16.9;27.6858;NA;NA;NA;0.65;0.5;1.91;17.1;29.5625;2.47948;0.51;0.67;0.13459;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.134333;0.755;0.67;0.88;NA;29.601;NA;NA;3400;NA;NA;29.1579;459.302;NA;0.912081;0.0453858;0.131868;0.8705;0.893;NA
34;1.84;NA;35.7471;32.1267;2708.14;497.175;2377.98;2725;165;2859;7.95823;200;152;0.767;357;207;201;1.14228;34;44;7.77778;38;118;NA;20.99;NA;NA;NA;163;125;1.12644;35;72;8.71429;NA;NA;NA;38;NA;22;4.09;0.39;1.7;32.6;15.8;17.4;28.6367;NA;NA;NA;0.66;0.51;1.97;17.6;30.4357;3.35373;0.52;0.68;0.135645;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.136;0.773333;0.685;0.882053;NA;30.201;NA;NA;NA;NA;NA;29.7071;469.48;NA;0.912792;0.0463918;0.134615;0.8725;0.896;NA
35;1.85;NA;36.5918;33.043;2784.29;510.542;2450.04;2791;170;2933;7.98378;207;156;0.77;365;213;208;1.14655;35;50;7.90909;39;159;NA;21;NA;NA;NA;168;129;1.13115;36;105;8.83721;NA;NA;NA;39;NA;22.99;4.19;0.4;1.75;33.5;17.8;18;29.6166;NA;NA;NA;0.67;0.52;2.03;18.1;31.0551;4.2051;0.53;0.69;0.136684;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.1375;0.792857;0.7;0.8842;NA;31.049;NA;NA;NA;NA;NA;30.5686;492.641;NA;0.913457;0.0473538;0.137009;0.8745;0.8985;NA
36;1.86;NA;37.3748;33.8068;2864.94;535.588;2522.1;2857;175;3004;8.0077;211;160;0.773;373;218;213;1.15504;36;59;8.08333;41;269;NA;21.99;NA;NA;NA;173;133;1.1358;37;3285;9;NA;NA;NA;40;NA;23;4.31;0.41;1.81;34.8;20.3;18.4;30.5405;NA;NA;NA;0.68;0.53;2.09;18.6;31.8277;5.07233;0.54;0.7;0.137748;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.139;0.81;0.715;0.886357;NA;31.95;NA;NA;NA;NA;NA;31.4136;504.61;NA;0.914139;0.0484166;0.139601;0.876636;0.901;NA
37;1.88;NA;38.0332;34.1609;2947.54;559.463;2594.16;2911;180;3059;8.02584;217;164;0.7758;380;224;219;1.15974;37;67;8.23288;42;13701;NA;22;NA;NA;NA;177;137;1.14094;38;NA;9.2;NA;NA;NA;42;NA;23.99;4.42;0.43;1.86;35.7;23.7;18.7;31.5087;NA;NA;NA;0.69;0.54;2.16;19.1;32.506;5.94037;0.55;0.71;0.138771;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.1406;0.83;0.73;0.888333;NA;32.735;NA;NA;NA;NA;NA;32.1659;515.768;NA;0.914793;0.0493976;0.144996;0.87875;0.903667;NA
38;1.89;NA;38.7039;34.7467;3032.51;584.606;2666.22;2970;185;3129;8.04847;221;168;0.7775;388;228;224;1.16427;38;83;8.48148;43;NA;NA;22.99;NA;NA;NA;182;141;1.1459;39;NA;9.33333;NA;NA;NA;43;NA;24.6;4.53;0.45;1.91;36.7;25.9;19.4;32.5231;NA;NA;NA;0.7;0.55;2.22;19.7;33.1132;6.79183;0.56;0.72;0.139785;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.142;0.85;0.746;0.8904;NA;33.507;NA;NA;NA;NA;NA;32.9743;528.639;NA;0.915416;0.0504732;0.14984;0.881;0.906;NA
39;1.902;NA;39.5079;35.5011;3117;598.643;2738.28;3035;190;3207;8.07309;226;172;0.7778;397;233;228;1.168935;39;120;8.55556;44;NA;NA;23;NA;NA;NA;187;145;1.15094;40;NA;9.55556;NA;NA;NA;44;NA;25.5;4.65;0.48;1.97;37.7;28.5;19.6;33.5479;NA;NA;NA;0.71;0.56;2.28;20.3;33.6562;7.63651;0.57;0.73;0.140757;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.1438;0.87;0.76;0.892333;NA;34.052;NA;NA;NA;NA;NA;33.7002;539.628;NA;0.916044;0.0514447;0.152678;0.883;0.9082;NA
40;1.92;NA;40.4153;36.2251;3204.59;613.995;2828.36;3103;195;3284;8.09682;231;176;0.7813;405;238;233;1.17355;41;240;8.66667;45;NA;NA;23.99;NA;NA;NA;192;149;1.15591;43;NA;9.66667;NA;NA;NA;45;NA;26.99;4.76;0.51;2.03;39.2;35.1;20.1;34.5269;NA;NA;NA;0.72;0.57;2.34;20.9;34.6375;8.44943;0.58;0.74;0.141868;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.145375;0.8875;0.775;0.894375;NA;34.606;NA;NA;NA;NA;NA;34.0639;549.308;NA;0.916651;0.0524619;0.154074;0.885;0.9105;NA
41;1.93;NA;41.364;36.8666;3291.52;623.237;2900.41;3173;200;3355;8.11821;236;180;0.7838;413;243;238;1.17842;42;5357;8.8125;47;NA;NA;24;NA;NA;NA;197;153;1.16139;44;NA;9.85714;NA;NA;NA;47;NA;27;4.88;0.54;2.1;40.3;40.3;20.5;35.5052;NA;NA;NA;0.73;0.58;2.4;21.5;35.7434;9.33271;0.59;0.75;0.142966;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.147;0.905625;0.79;0.89625;NA;35.189;NA;NA;NA;NA;NA;34.6057;561.163;NA;0.917264;0.053528;0.157895;0.887;0.9125;NA
42;1.94;NA;42.1322;37.5689;3375.12;638.446;2972.47;3236;205;3420;8.1374;240;184;0.7877;420;248;242;1.18333;43;NA;9.2;49;NA;NA;24.99;NA;NA;NA;202;161;1.16667;45;NA;10;NA;NA;NA;48;NA;28;5.01;0.56;2.16;41.4;43;21;36.5273;NA;NA;NA;0.74;0.59;2.47;22.2;36.5601;10.1172;0.6;0.76;0.144012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.1485;0.923333;0.8075;0.898;NA;35.803;NA;NA;NA;NA;NA;35.2402;572.637;NA;0.917857;0.0545746;0.161111;0.889;0.9145;NA
43;1.95;NA;43.0929;38.7056;3468.38;649.43;3062.55;3298;210;3498;8.15995;246;188;0.788;429;252;248;1.18841;44;NA;9.33333;51;NA;NA;25;NA;NA;NA;207;166;1.17228;47;NA;10.25;NA;NA;NA;51;NA;29;5.13;0.58;2.23;42;49.5;21.5;37.4733;NA;NA;NA;0.75;0.6;2.53;22.8;37.4446;10.9356;0.61;0.77;0.145116;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.15;0.94;0.824167;0.9;NA;36.551;NA;NA;NA;NA;NA;35.9052;584.392;NA;0.918418;0.0555556;0.164501;0.891;0.91625;NA
44;1.96;NA;44.0973;39.5815;3556.09;677.107;3152.63;3428;215;3573;8.18116;250;197;0.7906;437;257;252;1.1938;45;NA;9.62069;52;NA;NA;25.99;NA;NA;NA;212;171;1.17787;48;NA;10.4;NA;NA;NA;52;NA;30.99;5.26;0.61;2.3;43.1;56.5;22;38.4712;NA;NA;NA;0.76;0.61;2.6;23.5;38.4906;11.7185;0.62;0.78;0.146236;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.151833;0.96;0.840625;0.902;NA;37.343;NA;NA;NA;NA;NA;36.7554;598.846;NA;0.919001;0.0565789;0.169643;0.893;0.918;NA
45;1.98;NA;44.9576;40.6813;3649.86;692.801;3224.68;3502;221;3643;8.20056;255;202;0.793;445;261;257;1.19915;47;NA;9.75;53;NA;NA;26;NA;NA;NA;217;175;1.18367;50;NA;10.5;NA;NA;NA;53;NA;31;5.39;0.63;2.37;44.4;100;22.6;39.4728;NA;NA;NA;0.77;0.62;2.66;24.2;39.2808;12.542;0.63;0.79;0.147332;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.15325;0.98;0.86;0.903667;NA;38.083;NA;NA;NA;NA;NA;37.4435;613.43;NA;0.919562;0.057623;0.175439;0.894889;0.92;NA
46;1.998;NA;45.9588;41.7491;3737.13;710.721;3314.76;3590;226;3719;8.22121;259;206;0.7933;453;265;261;1.20438;49;NA;10.2222;54;NA;NA;26.99;NA;NA;NA;223;184;1.18978;53;NA;10.8;NA;NA;NA;55;NA;32;5.52;0.66;2.44;45.6;NA;23.1;40.4554;NA;NA;NA;0.78;0.63;2.73;24.9;40.0837;13.3564;0.64;0.8;0.148415;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.155;1;0.8775;0.9055;NA;38.994;NA;NA;NA;NA;NA;38.36;619.965;NA;0.920118;0.0586972;0.180602;0.896542;0.922;NA
47;2.007;NA;47.0582;42.6364;3836.04;727.749;3404.84;3680;232;3803;8.24355;262;210;0.7942;461;269;264;1.21;51;NA;10.3684;57;NA;NA;27;NA;NA;NA;228;189;1.19608;55;NA;11.2;NA;NA;NA;56;NA;33;5.66;0.68;2.51;46.3;NA;24;41.4536;NA;NA;NA;0.79;0.64;2.8;25.6;40.8637;14.1207;0.65;0.81;0.149513;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.1565;1.02;0.895;0.907;NA;39.742;NA;NA;NA;NA;NA;39.1446;633.858;NA;0.920649;0.0597878;0.194444;0.898385;0.923667;NA
48;2.031;NA;48.1131;43.2537;3927.85;743.405;3494.91;3852;238;3892;8.26668;266;215;0.7999;469;273;268;1.21596;53;NA;10.5;58;NA;NA;27.99;NA;NA;NA;234;194;1.20233;56;NA;11.3333;NA;NA;NA;58;NA;34;5.8;0.7;2.59;47.6;NA;24.3;42.441;NA;NA;NA;0.8;0.65;2.87;26.2;41.5998;14.9181;0.66;0.82;0.150623;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.158;1.04;0.9125;0.90875;NA;40.73;NA;NA;NA;NA;NA;40.0893;647.432;NA;0.921194;0.0608229;0.206837;0.900133;0.9255;NA
49;2.05;NA;49.1965;44.232;4029.17;759.768;3584.99;3938;243;3986;8.29054;271;224;0.8;478;278;273;1.22857;55;NA;10.6667;61;NA;NA;28;NA;NA;NA;240;199;1.2087;57;NA;11.5714;NA;NA;NA;61;NA;35;5.94;0.72;2.67;49;NA;24.8;43.4252;NA;NA;NA;0.81;0.66;2.94;27;42.1884;15.6826;0.67;0.83;0.151751;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.15975;1.06;0.93;0.910333;NA;41.707;NA;NA;NA;NA;NA;41.0291;661.745;NA;0.921738;0.0618932;0.21456;0.902;0.927;NA
50;2.07;NA;50.2764;45.1275;4133.37;773.454;3675.06;4032;249;4080;8.31385;276;229;0.8045;486;283;278;1.24157;57;NA;10.8667;63;NA;NA;29;NA;NA;NA;246;204;1.21583;59;NA;11.75;NA;NA;NA;63;NA;36;6.08;0.74;2.74;49.7;NA;25.5;44.3735;NA;NA;NA;0.82;0.67;3.01;27.8;42.9097;16.4443;0.68;0.84;0.152918;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.161333;1.08;0.948333;0.912;NA;42.645;NA;NA;NA;NA;NA;42.0505;674.466;NA;0.922281;0.0630165;0.222222;0.903571;0.928917;NA
51;2.09;NA;51.1853;46.2414;4237.61;789.913;3747.12;4116;256;4174;8.33663;281;234;0.8076;494;288;283;1.24845;59;NA;11;64;NA;NA;30;NA;NA;NA;252;208;1.22321;60;NA;12.2273;NA;NA;NA;65;NA;37;6.23;0.78;2.83;51.2;NA;26;45.3452;NA;NA;NA;0.83;0.68;3.09;28.6;43.5935;17.21435;0.69;0.85;0.154042;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.163;1.1;0.9665;0.9135;NA;43.454;NA;NA;NA;NA;NA;42.87135;689.842;NA;0.922808;0.0641711;0.230769;0.905125;0.9305;NA
52;2.101;NA;52.3323;47.2311;4339.77;808.322;3855.21;4211;262;4272;8.35984;286;239;0.8079;503;293;288;1.25483;61;NA;11.25;67;NA;NA;30.99;NA;NA;NA;258;214;1.23077;62;NA;12.3448;NA;NA;NA;66;NA;38;6.38;0.82;2.91;51.9;NA;26.7;46.297;NA;NA;NA;0.84;0.69;3.16;29.4;44.2368;18.0283;0.7;0.86;0.155114;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.1645;1.12;0.984167;0.915;NA;44.413;NA;NA;NA;NA;NA;43.7614;723.556;NA;0.923332;0.0652632;0.238095;0.906818;0.932;NA
53;2.12;NA;53.5378;48.1511;4443.69;828.846;3945.29;4321;268;4370;8.38252;290;244;0.8104;511;297;292;1.26193;63;NA;11.4167;69;NA;NA;31;NA;NA;NA;264;219;1.23853;64;NA;12.5;NA;NA;NA;69;NA;39;6.53;0.84;2.99;52.7;NA;27.3;47.212;NA;NA;NA;0.85;0.7;3.24;30.3;45.0747;18.8603;0.71;0.87;0.156252;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.1662;1.14;1;0.916667;NA;45.269;NA;NA;NA;NA;NA;44.701;740.56;NA;0.923838;0.0664336;0.246667;0.9085;0.9335;NA
54;2.14;NA;54.6181;49.3628;4549.74;850.192;4035.36;4412;275;4473;8.40581;295;255;0.8125;520;301;297;1.26957;65;NA;11.5556;70;NA;NA;32;NA;NA;NA;271;224;1.24658;67;NA;12.8182;NA;NA;NA;70;NA;41;6.69;0.87;3.09;54.2;NA;28;48.1852;NA;NA;NA;0.86;0.71;3.31;31.2;46.0298;19.6859;0.72;0.88;0.157419;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.168;1.16;1.02;0.9182;NA;46.229;NA;NA;NA;NA;NA;45.5431;755.687;NA;0.924357;0.0675513;0.258394;0.910095;0.935;NA
55;2.16;NA;55.886;50.5697;4663.01;870.443;4143.45;4538;280;4586;8.43076;299;261;0.818;529;306;301;1.27703;67;NA;11.75;72;NA;NA;33;NA;NA;NA;278;229;1.25439;68;NA;13.2;NA;NA;NA;72;NA;43;6.85;0.91;3.18;54.9;NA;28.7;49.1494;NA;NA;NA;0.87;0.72;3.39;32.2;47.095;20.437;0.73;0.89;0.158624;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.169667;1.1825;1.03833;0.919769;NA;47.124;NA;NA;NA;NA;NA;46.5213;768.898;NA;0.924881;0.0687623;0.266917;0.912;0.9365;NA
56;2.189;NA;57.2657;51.8575;4776.16;887.557;4233.53;4623;287;4701;8.45553;304;265;0.8182;537;310;306;1.28492;69;NA;12.1818;75;NA;NA;34;NA;NA;NA;283;235;1.26263;71;NA;13.3636;NA;NA;NA;75;NA;44;7.01;0.94;3.28;56.5;NA;29.5;50.1247;NA;NA;NA;0.88;0.73;3.48;33.1;47.8841;21.2099;0.74;0.9;0.159845;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.171462;1.205;1.05667;0.9213;NA;47.944;NA;NA;NA;NA;NA;47.337;785.974;NA;0.925415;0.0699558;0.277778;0.9135;0.938;NA
57;2.202;NA;58.649;53.3868;4894.53;909.723;4341.61;4742;294;4803;8.477;308;271;0.8206;547;315;310;1.29268;71;NA;12.3333;78;NA;NA;35;NA;NA;NA;290;241;1.27184;72;NA;13.6875;NA;NA;NA;76;NA;47;7.18;0.97;3.38;57.3;NA;30.1;51.0292;NA;NA;NA;0.89;0.74;3.55;34;48.6979;21.9533;0.75;0.91;0.161009;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.173125;1.23;1.076;0.923;NA;48.804;NA;NA;NA;NA;NA;48.1436;804.675;NA;0.925913;0.0711538;0.284672;0.915167;0.939333;NA
58;2.22;NA;60.1079;54.6869;4996.14;929.735;4449.7;4847;301;4915;8.50005;313;277;0.8215;556;319;315;1.30088;73;NA;12.7353;80;NA;NA;36;NA;NA;NA;297;247;1.28134;76;NA;14;NA;NA;NA;78;NA;48;7.37;1;3.48;58.2;NA;30.9;51.951;NA;NA;NA;0.9;0.75;3.64;34.9;49.5881;22.7138;0.76;0.92;0.162163;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.175;1.25;1.095;0.9244;NA;49.787;NA;NA;NA;NA;NA;49.1267;825.432;NA;0.926452;0.0724138;0.293452;0.916931;0.941;NA
59;2.243;NA;61.5368;55.9043;5115.35;953.036;4557.8;4991.5;308;5042;8.52556;316;283;0.8249;565;324;319;1.30968;75;NA;13.1429;82;NA;NA;37;NA;NA;NA;304;253;1.29097;78;NA;14.7667;NA;NA;NA;83;NA;52;7.55;1.03;3.58;59;NA;31.7;52.9077;NA;NA;NA;0.91;0.76;3.72;35.9;50.4042;23.4918;0.77;0.93;0.163413;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.176667;1.27429;1.115;0.926;NA;50.997;NA;NA;NA;NA;NA;50.2287;846.96;NA;0.926958;0.0736842;0.303289;0.9185;0.942;NA
60;2.25;NA;63.033;57.372;5234;977.676;4665.89;5115;316;5179;8.55237;321;289;0.8261;575;329;324;1.31915;77;NA;13.375;84;NA;NA;38;NA;NA;NA;311;259;1.30085;84;NA;15.1429;NA;NA;NA;84;NA;53;7.74;1.06;3.69;60.8;NA;32.5;53.8399;NA;NA;NA;0.92;0.77;3.81;37;51.1406;24.2782;0.78;0.94;0.16463;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.1784;1.2975;1.135;0.927375;NA;52.227;NA;NA;NA;NA;NA;51.387;867.408;NA;0.927453;0.075;0.312091;0.92;0.943333;NA
61;2.27;NA;64.539;58.685;5355.43;1002.95;4773.98;5242;322;5318;8.57885;327;302;0.828;585;333;329;1.32895;79;NA;13.5417;86;NA;NA;39;NA;NA;NA;318;264;1.31169;86;NA;15.4545;NA;NA;NA;86;NA;59;7.94;1.09;3.79;61.6;NA;33.3;54.7753;NA;NA;NA;0.93;0.78;3.89;38;51.9569;25.0125;0.79;0.95;0.165836;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.18025;1.32;1.155;0.928919;NA;53.556;NA;NA;NA;NA;NA;52.716;888.123;NA;0.927967;0.0762195;0.325;0.921857;0.94475;NA
62;2.29;NA;66.0986;60.2644;5488.54;1027.63;4882.07;5397;330;5454;8.6041;330;309;0.8333;595;338;332;1.33898;83;NA;13.7778;88;NA;NA;40;NA;NA;NA;325;270;1.3237;88;NA;15.6667;NA;NA;NA;88;NA;130;8.15;1.13;3.9;62.6;NA;34.4;55.7292;NA;NA;NA;0.94;0.79;3.99;39.1;52.8358;25.7855;0.8;0.96;0.167006;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.182;1.345;1.175;0.930222;NA;54.938;NA;NA;NA;NA;NA;54.0211;910.996;NA;0.92849;0.077551;0.344527;0.9235;0.946;NA
63;2.303;NA;67.7099;61.933;5633.1;1056.37;5008.17;5567;338;5610;8.63231;335;314;0.8334;606;343;338;1.36082;85;NA;14;90;NA;NA;42;NA;NA;NA;333;277;1.33594;90;NA;16.4286;NA;NA;NA;90;NA;NA;8.37;1.17;4.02;63.5;NA;35;56.6881;NA;NA;NA;0.95;0.8;4.08;40.2;53.5702;26.547;0.81;0.97;0.168301;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.184;1.37;1.19714;0.931778;NA;56.169;NA;NA;NA;NA;NA;55.1863;932.756;NA;0.929003;0.0789474;0.357737;0.925;0.947;NA
64;2.323;NA;69.275;63.2921;5745.39;1098.76;5134.28;5717;346;5770;8.66043;341;321;0.8388;617;348;343;1.37241;87;NA;14.3333;94;NA;NA;43;NA;NA;NA;341;284;1.34915;94;NA;16.6667;NA;NA;NA;94;NA;NA;8.59;1.21;4.14;64.4;NA;36.7;57.6204;NA;NA;NA;0.96;0.81;4.17;41.3;54.1673;27.3121;0.82;0.98;0.169529;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.186;1.39333;1.22;0.933;NA;57.363;NA;NA;NA;NA;NA;56.4854;957.16;NA;0.929521;0.0803109;0.368055;0.9265;0.9485;NA
65;2.361;NA;71.0566;65.085;5884.75;1126.65;5260.38;5880;354;5938;8.68913;345;329;0.8422;628;354;348;1.38519;90;NA;14.5;100;NA;NA;44;NA;NA;NA;350;291;1.36275;97;NA;17.375;NA;NA;NA;96;NA;NA;8.81;1.25;4.27;66.3;NA;36.9;58.5539;NA;NA;NA;0.97;0.82;4.27;42.5;54.9674;28.0929;0.83;0.99;0.170857;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.188;1.418;1.2425;0.9346;NA;58.881;NA;NA;NA;NA;NA;58.0376;983.122;NA;0.930061;0.0816697;0.380174;0.928;0.9496;NA
66;2.39;NA;73.0427;66.9241;6028.98;1153.93;5404.5;6041;363;6111;8.71785;351;337;0.8462;640;359;354;1.39785;92;NA;14.875;103;NA;NA;47;NA;NA;NA;358;298;1.37745;102;NA;17.6429;NA;NA;NA;102;NA;NA;9.05;1.34;4.4;67.2;NA;37.9;59.494;NA;NA;NA;0.98;0.83;4.37;43.7;55.9573;28.8715;0.84;1;0.17222;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.189947;1.4425;1.268;0.936;NA;60.402;NA;NA;NA;NA;NA;59.5;1011.09;NA;0.930588;0.0831382;0.391304;0.93;0.951;NA
67;2.41;NA;75.1663;68.6773;6182.94;1185.78;5530.61;6223;372;6296;8.74767;357;345;0.851;653;365;360;1.42727;95;NA;15.2;106;NA;NA;48;NA;NA;NA;367;306;1.39394;107;NA;18;NA;NA;NA;104;NA;NA;9.29;1.39;4.53;68.2;NA;38.9;60.5505;NA;NA;NA;0.99;0.84;4.48;44.9;56.9392;29.7045;0.85;1.01;0.173622;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.192;1.47;1.29;0.9375;NA;62.053;NA;NA;NA;NA;NA;61.116;1039.37;NA;0.931118;0.0846154;0.401709;0.9316;0.952;NA
68;2.44;NA;77.2153;70.6412;6341.18;1221.16;5638.7;6384;381;6471;8.77509;363;353;0.8571;663;371;365;1.44248;96;NA;15.8333;108;NA;NA;52;NA;NA;NA;376;312;1.41121;110;NA;18.8333;NA;NA;NA;106;NA;NA;9.56;1.45;4.67;69.2;NA;39.8;61.5392;NA;NA;NA;1;0.85;4.58;46.1;57.8948;30.4976;0.86;1.02;0.175034;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.194;1.495;1.315;0.939;NA;63.733;NA;NA;NA;NA;NA;62.5177;1065.32;NA;0.931652;0.0860416;0.409524;0.933;0.953;NA
69;2.45;NA;79.3107;72.7366;6511.34;1248.56;5800.83;6535;392;6649;8.80222;367;361;0.8572;675;377;370;1.45918;99;NA;16.1429;117;NA;NA;53;NA;NA;NA;386;320;1.43038;115;NA;19.2632;NA;NA;NA;109;NA;NA;9.83;1.5;4.82;70.2;NA;40.8;62.5091;NA;NA;NA;1.01;0.86;4.69;47.3;58.832;31.2828;0.87;1.03;0.176426;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.196;1.52;1.34;0.940097;NA;65.18;NA;NA;NA;NA;NA;64.2192;1089.15;NA;0.932215;0.0876623;0.421795;0.93472;0.954;NA
70;2.498;NA;81.6328;74.7502;6677.65;1286.2;5944.95;6663;402;6828;8.82879;373;371;0.8648;688;382;376;1.47727;102;NA;16.75;120;NA;NA;59;NA;NA;NA;396;328;1.45;118;NA;19.6667;NA;NA;NA;114;NA;NA;10.12;1.56;4.97;71.2;NA;41.9;63.5067;NA;NA;NA;1.02;0.87;4.8;48.7;59.8326;32.1166;0.88;1.04;0.177902;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.198308;1.55;1.363;0.9415;NA;67.087;NA;NA;NA;NA;NA;66.1047;1115.65;NA;0.932742;0.0892974;0.433198;0.936333;0.95525;NA
